Concurso,Data,dezena1,dezena2,dezena3,dezena4,dezena5,dezena6,Mega,Quina,Quadra,Cidade
444,12/03/2003,3,24,33,48,52,57,0,43,3332,
445,15/03/2003,7,20,31,32,50,53,0,31,3101,
446,19/03/2003,8,11,12,17,20,47,2,65,5039,RS   SP
447,22/03/2003,15,24,25,33,42,55,0,55,5613,
448,26/03/2003,3,5,9,45,51,52,0,40,2999,
449,29/03/2003,1,8,24,34,49,56,0,55,3656,
450,02/04/2003,1,9,13,50,51,59,0,108,6194,
451,05/04/2003,17,18,23,28,31,53,0,87,7368,
452,09/04/2003,11,16,30,36,51,54,0,76,6317,
453,12/04/2003,8,20,23,34,52,58,0,120,7882,
454,16/04/2003,4,17,24,42,46,56,0,275,16564,
455,19/04/2003,2,14,15,17,50,59,0,86,7989,
456,23/04/2003,3,17,22,27,33,40,0,221,16964,
457,26/04/2003,15,17,24,27,32,48,3,480,31340,CE   SP
458,30/04/2003,13,24,32,34,43,53,0,82,3921,
459,03/05/2003,8,15,17,39,43,49,0,62,4197,
460,07/05/2003,19,23,30,37,49,55,0,155,9464,
461,10/05/2003,15,17,20,29,30,60,0,189,8312,
462,14/05/2003,17,19,22,26,27,48,0,212,14463,
463,17/05/2003,2,3,7,18,45,53,0,166,15269,
464,21/05/2003,6,24,33,38,45,50,1,241,15457,RS
465,24/05/2003,1,22,31,46,51,57,0,19,2175,
